annotation_order,priority,annotation_type,anchor_chapter_country,anchor_date,anchor_document_type,anchor_title,context_date,context_distance_days,context_title,context_source,context_priority_or_status,issue_or_theme,recommended_annotation_use,source_note,anchor_pdf_url,anchor_catalog_url,context_link,anchor_record_id,context_record_id
564,Reference,Daily Diary empty-file check,Brazil,1989-02-25,Memcon,Memorandum of Conversation,1989-02-25,0,[Presidential Daily Diary] 2/25/1989 [EMPTY],Presidential Daily Diary,Restricted - Possibly,"Latin America; South America; Brazil; Bush Library Memcons and Telcons; Memcon",Use only to confirm that the diary file was empty or that no schedule detail is presently available.,"Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Diary] 2/25/1989 [EMPTY]. Access restriction: Restricted - Possibly.",https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1989-02-25--Sarney.pdf,https://catalog.archives.gov/id/428079873,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-02_25_89-12791-017_415889670.pdf,bush-library-428079873,415889670
565,Reference,Nearby public statement,Brazil,1989-02-25,Memcon,Memorandum of Conversation,1989-02-27,2,Remarks Upon Returning From a Trip to the Far East,Public Papers of the Presidents,Remarks,Brazil,"Compare the public line with the private conversation; use for annotation when it explains public posture, timing, or follow-up.","Source: Public Papers of the Presidents of the United States: George H. W. Bush, 1989, Book I, February 27, 1989, ""Remarks Upon Returning From a Trip to the Far East"", pp. 150-151. GovInfo, Government Publishing Office.",https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1989-02-25--Sarney.pdf,https://catalog.archives.gov/id/428079873,https://www.govinfo.gov/content/pkg/PPP-1989-book1/pdf/PPP-1989-book1.pdf#page=168,bush-library-428079873,govinfo-ppp-1989-book1-168-remarks-upon-returning-from-a-trip-to-the-far-east
566,Reference,Nearby public statement,Brazil,1989-09-25,Memcon,Memorandum of Conversation,1989-09-18,-7,Nomination of Richard H. Melton To Be United States Ambassador to Brazil,Public Papers of the Presidents,Nomination,Brazil,"Compare the public line with the private conversation; use for annotation when it explains public posture, timing, or follow-up.","Source: Public Papers of the Presidents of the United States: George H. W. Bush, 1989, Book II, September 18, 1989, ""Nomination of Richard H. Melton To Be United States Ambassador to Brazil"", p. 1226. GovInfo, Government Publishing Office.",https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1989-09-25--Sarney.pdf,https://catalog.archives.gov/id/428080259,https://www.govinfo.gov/content/pkg/PPP-1989-book2/pdf/PPP-1989-book2.pdf#page=360,presidential-series-428080259,govinfo-ppp-1989-book2-360-nomination-of-richard-h-melton-to-be-united-states-ambassador-to-brazil
567,Reference,Nearby public statement,Brazil,1989-09-25,Memcon,Memorandum of Conversation,1989-09-18,-7,Remarks at the Montana Centennial Celebration in Helena,Public Papers of the Presidents,Remarks,Brazil,"Compare the public line with the private conversation; use for annotation when it explains public posture, timing, or follow-up.","Source: Public Papers of the Presidents of the United States: George H. W. Bush, 1989, Book II, September 18, 1989, ""Remarks at the Montana Centennial Celebration in Helena"", pp. 1210-1215. GovInfo, Government Publishing Office.",https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1989-09-25--Sarney.pdf,https://catalog.archives.gov/id/428080259,https://www.govinfo.gov/content/pkg/PPP-1989-book2/pdf/PPP-1989-book2.pdf#page=344,presidential-series-428080259,govinfo-ppp-1989-book2-344-remarks-at-the-montana-centennial-celebration-in-helena
568,Reference,Daily Diary empty-file check,Brazil,1990-12-03,Memcon,Memorandum of Conversation,1990-12-03,0,[Presidential Daily Diary] 12/3/1990 [EMPTY],Presidential Daily Diary,Restricted - Possibly,"Latin America; South America; Brazil; Bush Library Memcons and Telcons; Memcon",Use only to confirm that the diary file was empty or that no schedule detail is presently available.,"Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Diary] 12/3/1990 [EMPTY]. Access restriction: Restricted - Possibly.",https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1990-12-03--Collor-de-Mello.pdf,https://catalog.archives.gov/id/428081233,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1990/41-bpr-apts_sch-dd-12_03_90-12843-025_415890964.pdf,bush-library-428081233,415890964
569,Reference,Nearby public statement,Brazil,1990-12-03,Memcon,Memorandum of Conversation,1990-12-05,2,"Question-and-Answer Session With Reporters in Buenos Aires, Argentina",Public Papers of the Presidents,Exchange,"Argentina; Brazil; Uruguay; Venezuela","Compare the public line with the private conversation; use for annotation when it explains public posture, timing, or follow-up.","Source: Public Papers of the Presidents of the United States: George H. W. Bush, 1990, Book II, December 5, 1990, ""Question-and-Answer Session With Reporters in Buenos Aires, Argentina"", pp. 1752-1755. GovInfo, Government Publishing Office.",https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1990-12-03--Collor-de-Mello.pdf,https://catalog.archives.gov/id/428081233,https://www.govinfo.gov/content/pkg/PPP-1990-book2/pdf/PPP-1990-book2.pdf#page=818,bush-library-428081233,govinfo-ppp-1990-book2-818-question-and-answer-session-with-reporters-in-buenos-aires-argentina
570,Reference,Nearby public statement,Brazil,1990-12-03,Memcon,Memorandum of Conversation,1990-12-05,2,"Remarks to a Joint Session of the Congress in Buenos Aires, Argentina",Public Papers of the Presidents,Remarks,"Argentina; Brazil; Uruguay; Venezuela","Compare the public line with the private conversation; use for annotation when it explains public posture, timing, or follow-up.","Source: Public Papers of the Presidents of the United States: George H. W. Bush, 1990, Book II, December 5, 1990, ""Remarks to a Joint Session of the Congress in Buenos Aires, Argentina"", pp. 1755-1758. GovInfo, Government Publishing Office.",https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1990-12-03--Collor-de-Mello.pdf,https://catalog.archives.gov/id/428081233,https://www.govinfo.gov/content/pkg/PPP-1990-book2/pdf/PPP-1990-book2.pdf#page=821,bush-library-428081233,govinfo-ppp-1990-book2-821-remarks-to-a-joint-session-of-the-congress-in-buenos-aires-argentina
571,Reference,Nearby public statement,Brazil,1990-12-03,Memcon,Memorandum of Conversation,1990-11-30,-3,Written Responses to Questions Submitted by the South American Press,Public Papers of the Presidents,Public Paper,"Argentina; Bolivia; Brazil; Chile; Colombia; Ecuador; Paraguay; Uruguay; Venezuela","Compare the public line with the private conversation; use for annotation when it explains public posture, timing, or follow-up.","Source: Public Papers of the Presidents of the United States: George H. W. Bush, 1990, Book II, November 30, 1990, ""Written Responses to Questions Submitted by the South American Press"", pp. 1731-1737. GovInfo, Government Publishing Office.",https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1990-12-03--Collor-de-Mello.pdf,https://catalog.archives.gov/id/428081233,https://www.govinfo.gov/content/pkg/PPP-1990-book2/pdf/PPP-1990-book2.pdf#page=797,bush-library-428081233,govinfo-ppp-1990-book2-797-written-responses-to-questions-submitted-by-the-south-american-press
572,Reference,Nearby public statement,Brazil,1992-03-25,Telcon,Memorandum of a Telephone Conversation,1992-03-22,-3,The President's News Conference With Chancellor Helmut Kohl of Germany,Public Papers of the Presidents,News Conference,Brazil,"Compare the public line with the private conversation; use for annotation when it explains public posture, timing, or follow-up.","Source: Public Papers of the Presidents of the United States: George H. W. Bush, 1992, Book I, March 22, 1992, ""The President's News Conference With Chancellor Helmut Kohl of Germany"", p. 483. GovInfo, Government Publishing Office.",documents/brazil/1992-03-25-bush-fernando-collor-de-mello-telcon-91113-003-p45-scowcroft.pdf,https://catalog.archives.gov/id/366551703,https://www.govinfo.gov/content/pkg/PPP-1992-book1/pdf/PPP-1992-book1-doc-pg483-3.pdf,scowcroft-366551703-45-fernando-collor-de-mello-telcon,govinfo-PPP-1992-book1-doc-pg483-3
573,Reference,Nearby public statement,Brazil,1992-05-12,Telcon,Memorandum of Telephone Conversation,1992-05-08,-4,Nomination of Alexander Fletcher Watson To Be United States Ambassador to Brazil,Public Papers of the Presidents,Nomination,Brazil,"Compare the public line with the private conversation; use for annotation when it explains public posture, timing, or follow-up.","Source: Public Papers of the Presidents of the United States: George H. W. Bush, 1992, Book I, May 8, 1992, ""Nomination of Alexander Fletcher Watson To Be United States Ambassador to Brazil"", p. 734. GovInfo, Government Publishing Office.",https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1992-05-12--Collor-de-Mello.pdf,https://catalog.archives.gov/id/428082219,https://www.govinfo.gov/content/pkg/PPP-1992-book1/pdf/PPP-1992-book1-doc-pg734.pdf,bush-library-428082219,govinfo-PPP-1992-book1-doc-pg734
574,Reference,Daily Diary empty-file check,Brazil,1992-07-10,Telcon,Memorandum of Telephone Conversation,1992-07-10,0,[Presidential Daily Diary] 7/10/1992 [EMPTY],Presidential Daily Diary,Restricted - Possibly,"Latin America; South America; Brazil; Bush Library Memcons and Telcons; Telcon",Use only to confirm that the diary file was empty or that no schedule detail is presently available.,"Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Diary] 7/10/1992 [EMPTY]. Access restriction: Restricted - Possibly.",https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1992-07-10--Collor-de-Mello.pdf,https://catalog.archives.gov/id/428082309,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1992/41-bpr-apts_sch-dd-07_10_92-12895-015_415892143.pdf,bush-library-428082309,415892143
575,Reference,Nearby public statement,Chile,1990-03-30,Telcon,Memorandum of Telephone Conversation,1990-04-02,3,"Remarks at a Fundraising Dinner for Gubernatorial Candidate George Voinovich in Cincinnati, Ohio",Public Papers of the Presidents,Remarks,Chile,"Compare the public line with the private conversation; use for annotation when it explains public posture, timing, or follow-up.","Source: Public Papers of the Presidents of the United States: George H. W. Bush, 1990, Book I, April 2, 1990, ""Remarks at a Fundraising Dinner for Gubernatorial Candidate George Voinovich in Cincinnati, Ohio"", pp. 441-445. GovInfo, Government Publishing Office.",https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1990-03-30--Aylwin.pdf,https://catalog.archives.gov/id/428080659,https://www.govinfo.gov/content/pkg/PPP-1990-book1/pdf/PPP-1990-book1.pdf#page=459,bush-library-428080659,govinfo-ppp-1990-book1-459-remarks-at-a-fundraising-dinner-for-gubernatorial-candidate-george-voinovich-in-cincinnati-ohio
